zone,a,b,c
zone1,0.9796706820110753,0.0038870064828947885,0.3782292431203672
zone2,0.9852976013318833,0.0067983756566501255,0.19863826054803654
zone3,0.982769118975893,0.0013906483802817518,0.3271275650383922
zone4,0.9396695178480771,0.015957768985159854,1.007567839501283
zone5,0.8666662157529822,0.048902158176757776,2.311705379473901
zone6,0.8221517029922432,0.059094354691034634,3.259162006834331
zone7,0.9951508204779731,0.003953858986828377,0.037521969196553276
zone8,0.9736456323218331,0.006773031264283205,0.46708542726642815
zone9,0.9473470371925575,0.01488020712156389,0.935149962237959
zone10,0.9529752398362173,0.012733843837252137,0.7844253084107271
zone11,0.9715677478697432,0.007071027636886308,0.5067915654294558
zone12,0.9395157450863658,0.02392494799191963,0.8701931637136782
zone13,0.9649552302230994,0.015805101873069376,0.5102311565353194
zone14,0.694810215562967,7.648160810225235e-08,5.0
zone15,0.9951857364517265,0.003836691824863305,0.0390226250243245
zone16,0.9757231968322414,0.006263780561062089,0.4334347362179802
zone17,0.9180059056413576,0.024344700488906967,1.4409045605136004
zone18,0.9324313057261425,0.02148588242533231,1.1308963551809461
zone19,0.9717988082484166,0.005911702893930219,0.5116353029903696
zone20,0.9837008648849426,-0.0022819633647884092,0.3731140096878004
zone21,0.9531285509248649,0.020119341737269564,0.7011675253804824
zone22,0.9944707007047743,0.004090213534663132,0.05273391265573878
zone23,0.9773052458825855,0.005558886361440855,0.4115576204866852
zone24,0.9185832606771144,0.024029953868735146,1.4324086951518618
zone25,0.9358103703927798,0.020404688479542493,1.097951268889188
zone26,0.9753051140431876,0.004228242898339618,0.46589142280731644
zone27,0.9861184034893292,-0.003478377929687082,0.3422404383570427
zone28,0.960523212811139,0.017669500633926465,0.5772238538002368
zone29,0.9943757651054415,0.004631260281230546,0.043092624810671956
zone30,0.9759927257318327,0.005965706759679161,0.4319238474335335
zone31,0.918133320317495,0.024363996936664717,1.436655949957469
zone32,0.9308658068410424,0.0210816124604698,1.1639300264009873
zone33,0.9721683817573571,0.005257041294428368,0.512272880887864
zone34,0.983371137425863,-0.002428782700019321,0.3820632947254108
zone35,0.968911462907801,0.01457992147429682,0.44550690706004775
zone36,0.9963887022598655,0.003077535389476578,0.026325543842404913
zone37,0.9981723716624851,0.0012548979262812553,0.017105587378906124
zone38,0.9971736655121927,-0.01340621456995236,0.25081008508760716
zone39,0.9091161785151832,0.03371631757909371,1.6805073447212353
zone40,0.9955803314165896,0.0033843505943637157,0.03501367082681536
