day,mean,min,max,day_of_year
2022-04-10,0.15933125,0.00103,0.28248,100
2022-04-11,0.1631275,0.0551,0.2702,101
2022-04-12,0.23729958333333334,0.183,0.28226,102
2022-04-13,0.22943499999999997,0.19090000000000001,0.26,103
2022-04-14,0.22076125,0.19,0.27231,104
2022-04-15,0.19847291666666667,0.15111000000000002,0.23729,105
2022-04-16,0.16261375,0.10404000000000001,0.22243000000000002,106
2022-04-17,0.12043916666666667,0.0037,0.19154,107
2022-04-18,0.10324333333333334,0.045,0.21969,108
2022-04-19,0.11212166666666666,0.05511,0.17091,109
2022-04-20,0.08518916666666666,0.006,0.148,110
2022-04-21,0.1617175,0.101,0.22361,111
2022-04-22,0.20776874999999997,0.17609,0.24409999999999998,112
2022-04-23,0.08624875,0.00117,0.18248,113
2022-04-24,0.14694666666666667,0.102,0.25704000000000005,114
2022-04-25,0.224635,0.17,0.26743,115
2022-04-26,0.23378,0.205,0.27001,116
2022-04-27,0.22078041666666667,0.19096000000000002,0.262,117
2022-04-28,0.22425625000000002,0.1963,0.26785000000000003,118
2022-04-29,0.2148175,0.186,0.25497,119
2022-04-30,0.18644916666666667,0.138,0.23201,120
2022-05-01,0.17785833333333334,0.09505,0.227,121
2022-05-02,0.19180624999999998,0.15500999999999998,0.21719999999999998,122
2022-05-03,0.19147125,0.15289,0.2235,123
2022-05-04,0.20214916666666669,0.18525,0.218,124
2022-05-05,0.1907725,0.15724000000000002,0.22513999999999998,125
2022-05-06,0.19763208333333335,0.15005000000000002,0.23147,126
2022-05-07,0.18486375,0.14523,0.229,127
2022-05-08,0.17408958333333333,0.09662000000000001,0.23835,128
2022-05-09,0.20873666666666668,0.18394,0.25044,129
2022-05-10,0.20870625,0.17622,0.23795,130
2022-05-11,0.18687708333333333,0.15511000000000003,0.22884000000000002,131
2022-05-12,0.18726625,0.16111,0.22749,132
2022-05-13,0.20261208333333333,0.16499,0.238,133
2022-05-14,0.19155250000000001,0.13659000000000002,0.24187,134
2022-05-15,0.12722833333333333,0.00103,0.22618000000000002,135
2022-05-16,0.19464791666666667,0.16032,0.24703,136
2022-05-17,0.19935708333333335,0.16099000000000002,0.26588,137
2022-05-18,0.19486166666666668,0.16504,0.23772,138
2022-05-19,0.19107541666666664,0.15713999999999997,0.23621,139
2022-05-20,0.20373624999999998,0.174,0.23072,140
2022-05-21,0.17870750000000002,0.15933,0.22811,141
2022-05-22,0.17056125,0.1014,0.22790000000000002,142
2022-05-23,0.19416124999999998,0.17149,0.23002,143
2022-05-24,0.18001083333333334,0.15922,0.22030000000000002,144
2022-05-25,0.18457333333333334,0.155,0.22798,145
2022-05-26,0.17328833333333335,0.15053999999999998,0.218,146
2022-05-27,0.16853916666666668,0.14604,0.21456999999999998,147
2022-05-28,0.16225166666666666,0.12604,0.22798,148
2022-05-29,0.1618425,0.12,0.22803,149
2022-05-30,0.20661875,0.169,0.2502,150
2022-05-31,0.21382166666666666,0.18018,0.24777000000000002,151
2022-06-01,0.21045333333333335,0.1711,0.2626,152
2022-06-02,0.21473791666666667,0.17185,0.25645999999999997,153
2022-06-03,0.2145041666666667,0.17244,0.24,154
2022-06-04,0.20386125,0.1556,0.24586000000000002,155
2022-06-05,0.19398291666666667,0.16,0.245,156
2022-06-06,0.19494166666666668,0.16805,0.2358,157
2022-06-07,0.19332041666666666,0.16407,0.22881,158
2022-06-08,0.18544833333333333,0.16022999999999998,0.21500999999999998,159
2022-06-09,0.18266958333333336,0.15437,0.21571,160
2022-06-10,0.19435083333333333,0.16892,0.22046000000000002,161
2022-06-11,0.19049833333333333,0.159,0.23322,162
2022-06-12,0.17157750000000002,0.13605,0.22588,163
2022-06-13,0.2006175,0.1605,0.2384,164
2022-06-14,0.21404541666666665,0.194,0.24227,165
2022-06-15,0.16558958333333332,0.14417,0.19407,166
2022-06-16,0.17081291666666668,0.15,0.21044,167
2022-06-17,0.17790333333333333,0.15981,0.19661,168
2022-06-18,0.14653583333333334,0.09517,0.22605,169
2022-06-19,0.12261166666666667,0.05,0.25,170
2022-06-20,0.15748041666666665,0.11044,0.19791,171
2022-06-21,0.14802791666666668,0.12636,0.18003,172
2022-06-22,0.15275,0.13266,0.19566,173
2022-06-23,0.14985541666666666,0.12432,0.1865,174
2022-06-24,0.13758791666666667,0.11170000000000001,0.19152000000000002,175
2022-06-25,0.12870333333333334,0.06570999999999999,0.185,176
2022-06-26,0.1179425,0.07425,0.15321,177
2022-06-27,0.14247708333333334,0.11525,0.181,178
2022-06-28,0.14466416666666668,0.13119999999999998,0.17109,179
2022-06-29,0.13465541666666667,0.09905,0.1701,180
2022-06-30,0.1321325,0.09936,0.1586,181
2022-07-01,0.14522083333333333,0.12498999999999999,0.15469999999999998,182
2022-07-02,0.14242375,0.10925,0.17034,183
2022-07-03,0.14510458333333334,0.0912,0.19306,184
2022-07-04,0.15992333333333333,0.14383,0.176,185
2022-07-05,0.13916416666666667,0.11456999999999999,0.16358,186
2022-07-06,0.14529916666666667,0.11555,0.1745,187
2022-07-07,0.12483833333333333,0.11,0.169,188
2022-07-08,0.14673208333333335,0.12089,0.16912,189
2022-07-09,0.14862083333333334,0.1295,0.17984999999999998,190
2022-07-10,0.13862083333333333,0.11662,0.184,191
2022-07-11,0.15753833333333334,0.13506,0.19138999999999998,192
2022-07-12,0.155705,0.12355,0.2016,193
2022-07-13,0.15945,0.14,0.18631,194
2022-07-14,0.17172541666666666,0.16206,0.19,195
2022-07-15,0.1481775,0.13505,0.18400999999999998,196
2022-07-16,0.13766958333333332,0.12232,0.17615999999999998,197
2022-07-17,0.1067875,0.07809,0.17927,198
2022-07-18,0.11576791666666668,0.09126999999999999,0.15,199
2022-07-19,0.14235375,0.11849,0.18249,200
2022-07-20,0.14753750000000002,0.13747,0.15435,201
2022-07-21,0.1405625,0.11125,0.15122,202
2022-07-22,0.1334525,0.11009999999999999,0.14818,203
2022-07-23,0.15620208333333332,0.13987,0.2211,204
2022-07-24,0.14128916666666666,0.1153,0.19201,205
2022-07-25,0.15802,0.12512,0.18658000000000002,206
2022-07-26,0.14602666666666667,0.1251,0.165,207
2022-07-27,0.14825291666666665,0.12512,0.16419999999999998,208
2022-07-28,0.16986,0.15117,0.18,209
2022-07-29,0.14150625,0.119,0.161,210
2022-07-30,0.12997791666666667,0.1143,0.16378,211
2022-07-31,0.114135,0.08562,0.18303,212
