price_decile,price_mean_eur_kWh,baseline_hvac_mean_kW,scenario_hvac_mean_kW,delta_total_mean_kW,baseline_cooling_mean_kW,baseline_ventilation_mean_kW,baseline_pumping_mean_kW,scenario_cooling_mean_kW,scenario_ventilation_mean_kW,scenario_pumping_mean_kW,scenario,relative_hvac_change_pct
1,0.2971917465753425,4.380560944029502,4.105037096552077,-0.2755238474774239,0.851572923371576,3.2506449385105314,0.2783430821473938,0.7664156310344183,3.088112691585004,0.2505087739326544,low_flex,-6.28969328352687
2,0.22857037671232877,4.437775349418478,4.153321147215054,-0.28445420220342416,0.9662271871031778,3.18646665476848,0.28508150754682016,0.86960446839286,3.0271433220300556,0.25657335679213816,low_flex,-6.409837808502375
3,0.20675188356164384,4.70900586917609,4.398169008134151,-0.31083686104193836,1.2120486312952996,3.2012745175134163,0.29568272036737375,1.0908437681657697,3.041210791637745,0.26611444833063636,low_flex,-6.60090196694369
4,0.18846632420091322,4.66984530157436,4.350809556324933,-0.3190357452494265,1.3876608233512489,2.9589756981601956,0.3232087800629147,1.2488947410161242,2.8110269132521855,0.29088790205662324,low_flex,-6.831826851777499
5,0.1715307305936073,4.683462917905095,4.353657835612023,-0.3298050822930722,1.551423692178965,2.770824189948752,0.3612150357773782,1.3962813229610687,2.632282980451314,0.3250935321996404,low_flex,-7.041906556625256
6,0.15647197488584474,6.418445747314819,5.974472960380331,-0.4439727869344878,1.9822977247334277,3.9574357559398856,0.4787122666415057,1.7840679522600849,3.759563968142891,0.4308410399773551,low_flex,-6.9171385786072195
7,0.1428410502283105,6.545421222872437,6.079795872174565,-0.46562535069787203,2.2255883875998608,3.7783354317874425,0.5414974034851342,2.0030295488398746,3.58941866019807,0.48734766313662076,low_flex,-7.113756851442689
8,0.12541424657534248,6.588099103152147,6.129396126149687,-0.45870297700245954,2.085442751179964,4.002138666255109,0.5005176857170738,1.8768984760619676,3.8020317329423534,0.45046591714536643,low_flex,-6.962599830700612
9,0.10471972602739726,5.175952664678285,4.820714186751753,-0.3552384779265316,1.590831868027073,3.247135770825943,0.3379850258252689,1.4317486812243656,3.0847789822846456,0.3041865232427419,low_flex,-6.863248196815033
10,0.05679069634703196,4.4089469097622755,4.11435635019368,-0.2945905595685954,1.2625659238572415,2.8833222954138513,0.2630586904911829,1.138403003699338,2.739200525052278,0.2367528214420646,low_flex,-6.681653592070114
1,0.2971917465753425,4.380560944029502,3.8295132490746537,-0.5510476949548471,0.851572923371576,3.2506449385105314,0.2783430821473938,0.6812583386972607,2.9255804446594778,0.22267446571791505,medium_flex,-12.579386567053701
2,0.22857037671232877,4.437775349418478,3.8688669450116304,-0.5689084044068476,0.9662271871031778,3.18646665476848,0.28508150754682016,0.7729817496825423,2.867819989291632,0.22806520603745617,medium_flex,-12.81967561700475
3,0.20675188356164384,4.70900586917609,4.087332147092213,-0.6216737220838763,1.2120486312952996,3.2012745175134163,0.29568272036737375,0.9696389050362398,2.8811470657620744,0.23654617629389904,medium_flex,-13.20180393388738
4,0.18846632420091322,4.66984530157436,4.0317738110755075,-0.6380714904988523,1.3876608233512489,2.9589756981601956,0.3232087800629147,1.1101286586809993,2.6630781283441762,0.25856702405033183,medium_flex,-13.66365370355496
5,0.1715307305936073,4.683462917905095,4.023852753318952,-0.6596101645861437,1.551423692178965,2.770824189948752,0.3612150357773782,1.241138953743172,2.493741770953877,0.28897202862190263,medium_flex,-14.083813113250512
6,0.15647197488584474,6.418445747314819,5.530500173445844,-0.8879455738689752,1.9822977247334277,3.9574357559398856,0.4787122666415057,1.5858381797867422,3.561692180345897,0.38296981331320473,medium_flex,-13.834277157214425
7,0.1428410502283105,6.545421222872437,5.6141705214766935,-0.9312507013957433,2.2255883875998608,3.7783354317874425,0.5414974034851342,1.7804707100798889,3.4005018886086984,0.43319792278810754,medium_flex,-14.227513702885378
8,0.12541424657534248,6.588099103152147,5.670693149147229,-0.9174059540049185,2.085442751179964,4.002138666255109,0.5005176857170738,1.6683542009439714,3.6019247996295984,0.4004141485736592,medium_flex,-13.9251996614012
9,0.10471972602739726,5.175952664678285,4.465475708825222,-0.7104769558530626,1.590831868027073,3.247135770825943,0.3379850258252689,1.2726654944216584,2.922422193743349,0.27038802066021517,medium_flex,-13.72649639363005
10,0.05679069634703196,4.4089469097622755,3.8197657906250853,-0.5891811191371903,1.2625659238572415,2.8833222954138513,0.2630586904911829,1.0142400835414345,2.5950787546907046,0.21044695239294633,medium_flex,-13.363307184140218
1,0.2971917465753425,4.380560944029502,3.9724994273047693,-0.40806151672473157,0.851572923371576,3.2506449385105314,0.2783430821473938,0.695918139742791,3.034020476563596,0.24256081099838211,price_response,-9.315279982142492
2,0.22857037671232877,4.437775349418478,4.109576280740981,-0.32819906867749726,0.9662271871031778,3.18646665476848,0.28508150754682016,0.8047198908687344,3.0464791602792993,0.2583772295929475,price_response,-7.395576450721059
3,0.20675188356164384,4.70900586917609,4.420254255771758,-0.28875161340433103,1.2120486312952996,3.2012745175134163,0.29568272036737375,1.0323909973168957,3.1154073336286094,0.27245592482625325,price_response,-6.131901752223823
4,0.18846632420091322,4.66984530157436,4.6091467781084425,-0.06069852346591688,1.3876608233512489,2.9589756981601956,0.3232087800629147,1.332443630992909,2.964497394247019,0.3122057528685145,price_response,-1.2997973068926654
5,0.1715307305936073,4.683462917905095,4.513495685921189,-0.16996723198390595,1.551423692178965,2.770824189948752,0.3612150357773782,1.4359796172942172,2.734126255044074,0.34338981358289816,price_response,-3.629093151012535
6,0.15647197488584474,6.418445747314819,6.261015402657732,-0.15743034465708752,1.9822977247334277,3.9574357559398856,0.4787122666415057,1.8257171033315107,3.9698829461953564,0.465415353130865,price_response,-2.452779860653166
7,0.1428410502283105,6.545421222872437,6.413323795677799,-0.1320974271946384,2.2255883875998608,3.7783354317874425,0.5414974034851342,2.1949806461312225,3.6917741721496133,0.5265689773969633,price_response,-2.0181654120751493
8,0.12541424657534248,6.588099103152147,7.1317815134871,0.543682410334953,2.085442751179964,4.002138666255109,0.5005176857170738,2.4193039465482973,4.150968640697641,0.5615089262411608,price_response,8.252492893964245
9,0.10471972602739726,5.175952664678285,5.690387174640026,0.5144345099617412,1.590831868027073,3.247135770825943,0.3379850258252689,1.8636082348902396,3.442949610786711,0.38382932896307526,price_response,9.938933821252709
10,0.05679069634703196,4.4089469097622755,4.896035715573687,0.48708880581141134,1.2625659238572415,2.8833222954138513,0.2630586904911829,1.5105977055810162,3.0864479295316842,0.2989900804609867,price_response,11.047735792256898
1,0.2971917465753425,4.380560944029502,3.731612569096846,-0.6489483749326551,0.851572923371576,3.2506449385105314,0.2783430821473938,0.6111919669341923,2.9255804446594778,0.19484015750317565,thermal_inertia,-14.814275688074652
2,0.22857037671232877,4.437775349418478,3.783693498526383,-0.6540818508920959,0.9662271871031778,3.18646665476848,0.28508150754682016,0.7163164539519762,2.867819989291632,0.1995570552827741,thermal_inertia,-14.738958135359551
3,0.20675188356164384,4.70900586917609,4.029522380915346,-0.6794834882607426,1.2120486312952996,3.2012745175134163,0.29568272036737375,0.9413974108961108,2.8811470657620744,0.20697790425716156,thermal_inertia,-14.42944662074989
4,0.18846632420091322,4.66984530157436,4.197213119672926,-0.47263218190143386,1.3876608233512489,2.9589756981601956,0.3232087800629147,1.3078888452847095,2.6630781283441762,0.22624614604404022,thermal_inertia,-10.120938733068812
5,0.1715307305936073,4.683462917905095,4.122535270076949,-0.5609276478281463,1.551423692178965,2.770824189948752,0.3612150357773782,1.3759429740789073,2.493741770953877,0.2528505250441646,thermal_inertia,-11.976771411676882
6,0.15647197488584474,6.418445747314819,5.636783666854989,-0.7816620804598299,1.9822977247334277,3.9574357559398856,0.4787122666415057,1.7399928998600378,3.561692180345897,0.3350985866490539,thermal_inertia,-12.178370141818853
7,0.1428410502283105,6.545421222872437,6.0088825796759515,-0.5365386431964866,2.2255883875998608,3.7783354317874425,0.5414974034851342,2.2293325086276594,3.4005018886086984,0.3790481824395937,thermal_inertia,-8.197159891277819
8,0.12541424657534248,6.588099103152147,6.5427551208204875,-0.04534398233165925,2.085442751179964,4.002138666255109,0.5005176857170738,2.590467941188938,3.6019247996295984,0.3503623800019515,thermal_inertia,-0.6882711025091314
9,0.10471972602739726,5.175952664678285,5.136443717432846,-0.03950894724543914,1.590831868027073,3.247135770825943,0.3379850258252689,1.9774320056118089,2.922422193743349,0.23658951807768813,thermal_inertia,-0.763317398844388
10,0.05679069634703196,4.4089469097622755,4.404916744298028,-0.004030165464248361,1.2625659238572415,2.8833222954138513,0.2630586904911829,1.6256969062634947,2.5950787546907046,0.184141083343828,thermal_inertia,-0.09140880003168689
