scenario,energy_change_pct,cost_change_pct,energy_change_kWh,cost_change_eur,baseline_energy_kWh,optimized_energy_kWh,baseline_cost_eur,optimized_cost_eur,abs_delta_total_kWh,delta_total_std_kW,thermal_violation_degC_sum,mean_abs_pred_delta_C
low_flex,-6.801143461680891,-6.742512386356168,-3099.1004399862213,-506.0374246513711,45567.34404217794,42468.24360219172,7505.176047957504,6999.138623306133,3099.100439986223,0.4830066975832952,262778.7679134068,0.0021600325401670414
medium_flex,-13.602286923361781,-13.485024772712336,-6198.200879972443,-1012.0748493027422,45567.34404217794,39369.143162205495,7505.176047957504,6493.101198654762,6198.20087997244,0.9660133951665887,249454.0217127439,0.004320065080333174
price_response,0.0,-2.2426336430594063,0.0,-168.31360302233134,45567.34404217794,45567.34404217794,7505.176047957504,7336.862444935173,6407.77210734123,1.241592992564156,269755.12218933186,4.562850504395484e-06
thermal_inertia,-8.50320757333296,-10.275389640555092,-3874.6858495611596,-771.1860821372475,45567.34404217794,41692.65819261678,7505.176047957504,6733.989965820257,6659.222384870125,1.1529819002979569,236900.91716169735,6.7837209918998645e-06
