timestamp,cooling,ventilation,pumping,price_eur_kWh,hvac_total_kW,hvac_cost_eur,hvac_energy_kWh,iso_year,iso_week,year,month,hour,day_of_week,season,opt_cooling_kW,opt_ventilation_kW,opt_pumping_kW,opt_hvac_total_kW,opt_hvac_cost_eur,opt_hvac_energy_kWh,scenario,delta_total_kW,delta_cost_eur,delta_cooling_kW,delta_cooling_cost_eur,ratio_cooling,relative_cooling_change_pct,delta_ventilation_kW,delta_ventilation_cost_eur,ratio_ventilation,relative_ventilation_change_pct,delta_pumping_kW,delta_pumping_cost_eur,ratio_pumping,relative_pumping_change_pct
2022-01-01 00:00:00,0.803037799804811,0.0339609964855984,0.0,0.14586,0.8369987962904094,0.1220846444269191,0.8369987962904094,2021,52,2022,1,0,5,DJF,0.7227340198243299,0.03226294666131848,0.0,0.7549969664856484,0.1101238575315967,0.7549969664856484,low_flex,-0.082001829804761,-0.0119607868953224,-0.0803037799804811,-0.011713109347952973,0.9,-10.0,-0.0016980498242799222,-0.00024767754736946943,0.95,-5.000000000000006,0.0,0.0,,
2022-01-01 01:00:00,0.805472288043054,0.0340648721341286,0.0,0.1149,0.8395371601771826,0.09646281970435829,0.8395371601771826,2021,52,2022,1,1,5,DJF,0.7249250592387486,0.03236162852742217,0.0,0.7572866877661708,0.08701224042433303,0.7572866877661708,low_flex,-0.0822504724110118,-0.009450579280025254,-0.08054722880430543,-0.009254876589614694,0.9,-10.000000000000004,-0.0017032436067064283,-0.0001957026904105686,0.9500000000000001,-4.999999999999995,0.0,0.0,,
2022-01-01 02:00:00,0.800249998170934,0.0338446597806424,0.0,0.11387,0.8340946579515764,0.09497835870094601,0.8340946579515764,2021,52,2022,1,2,5,DJF,0.7202249983538406,0.03215242679161028,0.0,0.7523774251454508,0.08567321740131248,0.7523774251454508,low_flex,-0.08171723280612564,-0.00930514129963353,-0.08002499981709343,-0.009112446729172429,0.8999999999999999,-10.000000000000005,-0.001692232989032115,-0.00019269457046108693,0.9500000000000002,-4.999999999999986,0.0,0.0,,
2022-01-01 03:00:00,0.800516671947534,0.0338561187935063,0.0,0.0978,0.8343727907410402,0.08160165893447373,0.8343727907410402,2021,52,2022,1,3,5,DJF,0.7204650047527805,0.03216331285383098,0.0,0.7526283176066115,0.0736070494619266,0.7526283176066115,low_flex,-0.08174447313442867,-0.007994609472547126,-0.08005166719475343,-0.007829053051646885,0.8999999999999999,-10.000000000000005,-0.0016928059396753223,-0.0001655564209002465,0.9499999999999997,-5.000000000000022,0.0,0.0,,
2022-01-01 04:00:00,0.7992412106297899,0.0338019425187766,0.0,0.0978,0.8330431531485665,0.0814716203779298,0.8330431531485665,2021,52,2022,1,4,5,DJF,0.719317089566811,0.03211184539283777,0.0,0.7514289349596487,0.07348974983905364,0.7514289349596487,low_flex,-0.08161421818891779,-0.007981870538876154,-0.07992412106297897,-0.007816579039959344,0.9,-9.999999999999998,-0.0016900971259388303,-0.0001652914989168176,0.95,-5.000000000000001,0.0,0.0,,
2022-01-01 05:00:00,0.797020005198949,0.0337075615572245,0.0,0.09573999999999999,0.8307275667561735,0.07953385724123604,0.8307275667561735,2021,52,2022,1,5,5,DJF,0.7173180046790542,0.03202218347936327,0.0,0.7493401881584174,0.07174182961428688,0.7493401881584174,low_flex,-0.08138737859775613,-0.007792027626949166,-0.07970200051989484,-0.0076306695297747315,0.9,-9.999999999999993,-0.0016853780778612326,-0.0001613580971744344,0.9499999999999997,-5.000000000000022,0.0,0.0,,
2022-01-01 06:00:00,0.795766758302884,0.0336544297172411,0.0,0.0978,0.8294211880201251,0.08111739218836823,0.8294211880201251,2021,52,2022,1,6,5,DJF,0.7161900824725956,0.03197170823137904,0.0,0.7481617907039747,0.07317022313084873,0.7481617907039747,low_flex,-0.0812593973161504,-0.007947169057519507,-0.07957667583028838,-0.0077825988962022035,0.9,-9.999999999999998,-0.001682721485862057,-0.00016457016131730918,0.95,-5.000000000000006,0.0,0.0,,
2022-01-01 07:00:00,0.795063948594182,0.0336245261543053,0.0,0.0978,0.8286884747484873,0.08104573283040205,0.8286884747484873,2021,52,2022,1,7,5,DJF,0.7155575537347638,0.03194329984659004,0.0,0.7475008535813539,0.0731055834802564,0.7475008535813539,low_flex,-0.0811876211671334,-0.007940149350145642,-0.07950639485941813,-0.007775725417251093,0.9000000000000001,-9.999999999999993,-0.001681226307715257,-0.00016442393289455213,0.9500000000000003,-4.999999999999976,0.0,0.0,,
2022-01-01 08:00:00,0.793750920420077,0.0335690474866795,0.0,0.0978,0.8273199679067565,0.08091189286128078,0.8273199679067565,2021,52,2022,1,8,5,DJF,0.7143758283780693,0.03189059511234552,0.0,0.7462664234904148,0.07298485621736257,0.7462664234904148,low_flex,-0.08105354441634172,-0.007927036643918209,-0.07937509204200766,-0.007762884001708348,0.9,-9.999999999999995,-0.0016784523743339774,-0.000164152642209863,0.95,-5.000000000000007,0.0,0.0,,
2022-01-01 09:00:00,0.795671464625687,0.0336500377642753,0.0,0.07005,0.8293215023899624,0.05809397124241687,0.8293215023899624,2021,52,2022,1,9,5,DJF,0.7161043181631184,0.03196753587606153,0.0,0.7480718540391799,0.05240243337544455,0.7480718540391799,low_flex,-0.08124964835078252,-0.005691537866972324,-0.07956714646256868,-0.005573678609702936,0.9,-9.999999999999998,-0.0016825018882137763,-0.00011785925726937503,0.9499999999999996,-5.000000000000033,0.0,0.0,,
2022-01-01 10:00:00,0.80014442346228,0.0338387636270228,0.0,0.07679000000000001,0.8339831870893027,0.06404156893658756,0.8339831870893027,2021,52,2022,1,10,5,DJF,0.720129981116052,0.03214682544567166,0.0,0.7522768065617237,0.05776733597587477,0.7522768065617237,low_flex,-0.08170638052757906,-0.006274232960712792,-0.08001444234622801,-0.00614430902776685,0.9,-10.000000000000002,-0.0016919381813511394,-0.00012992393294595402,0.9500000000000001,-4.999999999999998,0.0,0.0,,
2022-01-01 11:00:00,0.8038032697366639,0.0339933687122506,0.0,0.0841,0.8377966384489145,0.07045869729355371,0.8377966384489145,2021,52,2022,1,11,5,DJF,0.7234229427629976,0.03229370027663807,0.0,0.7557166430396356,0.06355576967963335,0.7557166430396356,low_flex,-0.0820799954092789,-0.006902927613920362,-0.08038032697366637,-0.006759985498485341,0.9,-9.999999999999998,-0.0016996684356125336,-0.00014294211543501407,0.9499999999999998,-5.00000000000001,0.0,0.0,,
2022-01-01 12:00:00,0.807698110967293,0.0341580841084343,0.0,0.09473999999999999,0.8418561950757274,0.0797574559214744,0.8418561950757274,2021,52,2022,1,12,5,DJF,0.7269282998705637,0.03245017990301258,0.0,0.7593784797735763,0.07194351717374861,0.7593784797735763,low_flex,-0.08247771530215109,-0.00781393874772579,-0.08076981109672932,-0.007652131903304135,0.9,-10.000000000000002,-0.0017079042054217244,-0.00016180684442165417,0.9499999999999997,-5.0000000000000275,0.0,0.0,,
2022-01-01 13:00:00,0.8122414511600811,0.0343500402248102,0.0,0.0968,0.8465914913848913,0.08195005636605748,0.8465914913848913,2021,52,2022,1,13,5,DJF,0.731017306044073,0.03263253821356969,0.0,0.7636498442576427,0.07392130492413981,0.7636498442576427,low_flex,-0.08294164712724861,-0.00802875144191767,-0.08122414511600806,-0.00786249724722958,0.9,-9.999999999999995,-0.0017175020112405043,-0.0001662541946880808,0.9500000000000002,-4.999999999999984,0.0,0.0,,
2022-01-01 14:00:00,0.8157005657890001,0.0344961957507846,0.0,0.0978,0.8501967615397846,0.08314924327859094,0.8501967615397846,2021,52,2022,1,14,5,DJF,0.7341305092101,0.03277138596324537,0.0,0.7669018951733454,0.07500300534795318,0.7669018951733454,low_flex,-0.08329486636643924,-0.008146237930637762,-0.08157005657890004,-0.007977551533416423,0.8999999999999999,-10.000000000000005,-0.001724809787539229,-0.00016868639722133658,0.9500000000000001,-4.9999999999999964,0.0,0.0,,
